filename,product_name,image_urls,short_description,long_description,categories,stock_status,is_complete
bops-manuka-honey.html,BOPS MANUKA HONEY,"['https://rabeyaenterprise.com/wp-content/uploads/2023/11/BOPS-MANUKA-HONEY.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/BOPS-MANUKA-HONEY3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/BOPS-MANUKA-HONEY2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/BOPS-MANUKA-HONEY-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/BOPS-MANUKA-HONEY3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/11/BOPS-MANUKA-HONEY2-150x150.jpg']",,,[],,False
watch-box-6-grid.html,Watch Box 6 grid,['https://rabeyaenterprise.com/wp-content/uploads/2022/05/55666a5fe8305533fcfc33af8bc6bfb1d9c056cc_original.jpeg'],,,[],,False
quran-box-with-tasbih-hanger-golden-color.html,Quran Box With Tasbih Hanger Golden Color,"['https://rabeyaenterprise.com/wp-content/uploads/2025/02/Quran-Box-With-Tasbih-Hanger-Golden-Color.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/02/Quran-Box-With-Tasbih-Hanger-Golden-Color2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/02/Quran-Box-With-Tasbih-Hanger-Golden-Color-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/02/Quran-Box-With-Tasbih-Hanger-Golden-Color2-150x150.jpg']",,,[],,False
foldable-double-head-laptop-table.html,Foldable Double Head Laptop Table,"['https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-5.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-4.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-1.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-2-150x153.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-5-150x148.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-4-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-3-150x174.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/03/Foldable-Double-Head-Laptop-Table-1-150x139.jpg']","Black, Wood, Pink",,[],,False
air-conditioning-dustproof-1-5-ton.html,Air Conditioning Dustproof 1.5 ton,"['https://rabeyaenterprise.com/wp-content/uploads/2023/10/Air-Conditioning-Dustproof-1.5-ton.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/10/Air-Conditioning-Dustproof-1.5-ton-2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/10/WhatsApp-Image-2023-10-03-at-3.03.27-PM.jpeg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/10/Air-Conditioning-Dustproof-1.5-ton-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/10/Air-Conditioning-Dustproof-1.5-ton-2-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/10/WhatsApp-Image-2023-10-03-at-3.03.27-PM-150x60.jpeg']",,,[],,False
sewing-machine.html,Sewing Machine,['https://rabeyaenterprise.com/wp-content/uploads/2021/08/Sewing-Machine-F1.jpg'],সারাদেশব্যপী ডেলিভারি করে থাকি। সর্বনিম্ন অর্ডার ১ কার্টোন। পণ্যের মুল্যের সাথে ডেলিভারি চার্জ ও কুরিয়ার চার্জ যোগ হবে। 40% টাকা অগ্রিম দিতে হবে।,,[],,False
super-speaker-gags-toys-multi-voice-changer.html,Super Speaker Gags Toys Multi Voice Changer,"['https://rabeyaenterprise.com/wp-content/uploads/2022/07/Super-Speaker-Gags-Toys-Multi-Voice-Changer.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/07/Super-Speaker-Gags-Toys-Multi-Voice-Changer4.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/07/Super-Speaker-Gags-Toys-Multi-Voice-Changer3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/07/Super-Speaker-Gags-Toys-Multi-Voice-Changer2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/07/Super-Speaker-Gags-Toys-Multi-Voice-Changer-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/07/Super-Speaker-Gags-Toys-Multi-Voice-Changer4-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/07/Super-Speaker-Gags-Toys-Multi-Voice-Changer3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/07/Super-Speaker-Gags-Toys-Multi-Voice-Changer2-150x150.jpg']",Multi Voice Changer Amplifier Fun Toy Speaker Kids Gift,,[],,False
led-flashlight-with-lighter.html,Led flashlight with lighter,"['https://rabeyaenterprise.com/wp-content/uploads/2023/10/Led-flashlight-with-lighter.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/10/Led-flashlight-with-lighter-150x150.jpg']",,,[],,False
6-layer-round-shape-kitchen-rack.html,6 Layer Round Shape Kitchen Rack,"['https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-6.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-5.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-4.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-6-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-5-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-2-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/11/6-layer-round-shape-kitchen-Rack-4-150x150.jpg']","আপনার রান্নাঘরকে রাখুন আরও গোছানো ও স্টাইলিশ! এই 6 লেয়ার রাউন্ড মেটাল র‍্যাকটি ঘূর্ণনযোগ্য ডিজাইনের হওয়ায় সহজেই সবজী, ফল বা রান্নাঘরের জিনিসপত্র রাখতে পারবেন। টেকসই, স্পেস সেভিং ও আধুনিক লুকের পারফেক্ট সমন্বয়।",,[],,False
storage-bag-clean-room-selection.html,Storage Bag Clean Room Selection,"['https://rabeyaenterprise.com/wp-content/uploads/2024/01/Storage-Bag-Clean-Room-Selection2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Storage-Bag-Clean-Room-Selection.webp', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Storage-Bag-Clean-Room-Selection2-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2024/01/Storage-Bag-Clean-Room-Selection-150x150.webp']",,,[],,False
eye-borrow-cotouring.html,EYE BORROW COTOURING,"['https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING5.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING4.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING5-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING4-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2023/08/EYE-BORROW-COTOURING2-150x150.jpg']","Create Natural and Perfect Eyebrows: The eyebrow pen creates a natural and long-lasting appearance and shaped eyebrows, depicting perfect facial contours are not easy to fall off, dry against the color reflects your beauty.",,[],,False
race-digital-wall-tap-without-hand-shower.html,Race Digital Wall Tap,['https://rabeyaenterprise.com/wp-content/uploads/woocommerce-placeholder.webp'],,,[],,False
cup-washer.html,Cup Washer,"['https://rabeyaenterprise.com/wp-content/uploads/2022/06/Cum-Washer-F3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/06/Cum-Washer-F2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/06/Cum-Washer-F1.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/06/Cum-Washer-F3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/06/Cum-Washer-F2-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2022/06/Cum-Washer-F1-150x150.jpg']",High Quality Rinser Automatic Glass Cup Washer High Pressure Bar Kitchen Beer Milk Tea Cup Cleaner Sink Accessories,,[],,False
notebook-creative-stand.html,Notebook Creative Stand,"['https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand5.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand2.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand3.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand4.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand5-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand2-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand3-150x150.jpg', 'https://rabeyaenterprise.com/wp-content/uploads/2025/07/Notebook-Creative-Stand4-150x150.jpg']",,,[],,False
