INFO 2025-11-27 17:30:17,846 autoreload Watching for file changes with StatReloader
INFO 2025-11-27 17:30:29,350 basehttp "GET /media/products/gallery/prod_1524_0.jpg HTTP/1.1" 200 35721
INFO 2025-11-27 17:30:29,359 basehttp "GET /media/products/gallery/prod_1514_0.jpg HTTP/1.1" 200 63144
INFO 2025-11-27 17:30:29,361 basehttp "GET /media/products/gallery/prod_1519_0.jpg HTTP/1.1" 200 957584
INFO 2025-11-27 17:30:29,373 basehttp "GET /media/products/gallery/prod_1504_0.jpg HTTP/1.1" 200 373508
INFO 2025-11-27 17:30:29,379 basehttp "GET /media/products/gallery/prod_1502_0.jpg HTTP/1.1" 200 42722
INFO 2025-11-27 17:30:29,394 basehttp "GET /media/products/gallery/prod_1497_0.jpg HTTP/1.1" 200 41370
INFO 2025-11-27 17:30:29,403 basehttp "GET /media/products/gallery/prod_1488_0.jpg HTTP/1.1" 200 59794
INFO 2025-11-27 17:30:29,406 basehttp "GET /media/products/gallery/prod_1492_0.jpg HTTP/1.1" 200 39709
INFO 2025-11-27 17:30:29,414 basehttp "GET /media/products/gallery/prod_1487_0.jpg HTTP/1.1" 200 61852
INFO 2025-11-27 17:30:29,417 basehttp "GET /media/products/gallery/prod_1486_0.jpg HTTP/1.1" 200 270811
INFO 2025-11-27 17:30:29,440 basehttp "GET /media/products/gallery/prod_1485_0.jpg HTTP/1.1" 200 139953
INFO 2025-11-27 17:30:29,450 basehttp "GET /media/products/gallery/prod_1484_0.jpg HTTP/1.1" 200 24622
INFO 2025-11-27 17:30:29,453 basehttp "GET /media/products/gallery/prod_1479_0.jpg HTTP/1.1" 200 28042
INFO 2025-11-27 17:30:29,455 basehttp "GET /media/products/gallery/prod_1477_0.jpg HTTP/1.1" 200 25679
INFO 2025-11-27 17:30:29,457 basehttp "GET /media/products/gallery/prod_1478_0.jpg HTTP/1.1" 200 30677
INFO 2025-11-27 17:30:29,482 basehttp "GET /media/products/gallery/prod_1499_0.jpg HTTP/1.1" 200 36573
INFO 2025-11-27 17:30:29,484 basehttp "GET /media/products/gallery/prod_1468_0.jpg HTTP/1.1" 200 113216
INFO 2025-11-27 17:30:29,495 basehttp "GET /media/products/gallery/prod_1454_0.jpg HTTP/1.1" 200 36526
INFO 2025-11-27 17:30:29,496 basehttp "GET /media/products/gallery/prod_1455_0.jpg HTTP/1.1" 200 59195
INFO 2025-11-27 17:30:29,496 basehttp "GET /media/products/gallery/prod_1463_0.jpg HTTP/1.1" 200 82109
INFO 2025-11-27 17:30:29,499 basehttp "GET /media/products/gallery/prod_1460_0.jpg HTTP/1.1" 200 136842
INFO 2025-11-27 17:30:29,517 basehttp "GET /media/products/gallery/prod_1452_0.jpeg HTTP/1.1" 200 20595
INFO 2025-11-27 17:30:29,517 basehttp "GET /media/products/gallery/prod_1451_0.jpg HTTP/1.1" 200 43102
